response_id,classificacao,score
M001_OPENAI,positive,0.716961
M001_ANTHROPIC,positive,0.543645
M001_META,positive,0.984714
M002_OPENAI,negative,0.984706
M002_ANTHROPIC,positive,0.978925
M002_META,positive,0.940495
M003_OPENAI,negative,0.654811
M003_ANTHROPIC,negative,0.792512
M003_META,negative,0.90455
M004_OPENAI,negative,0.987227
M004_ANTHROPIC,negative,0.984156
M004_META,negative,0.473205
M005_OPENAI,negative,0.975147
M005_ANTHROPIC,negative,0.988192
M005_META,negative,0.988659
M006_OPENAI,negative,0.987357
M006_ANTHROPIC,negative,0.938123
M006_META,neutral,0.910381
M007_OPENAI,positive,0.769421
M007_ANTHROPIC,positive,0.984819
M007_META,positive,0.995395
M008_OPENAI,neutral,0.641297
M008_ANTHROPIC,positive,0.986582
M008_META,positive,0.976165
M009_OPENAI,neutral,0.958427
M009_ANTHROPIC,neutral,0.48379
M009_META,neutral,0.962153
M010_OPENAI,neutral,0.868524
M010_ANTHROPIC,negative,0.98715
M010_META,neutral,0.820675
M011_OPENAI,negative,0.929106
M011_ANTHROPIC,neutral,0.679204
M011_META,neutral,0.91338
M012_OPENAI,negative,0.988491
M012_ANTHROPIC,negative,0.986156
M012_META,neutral,0.461539
M013_OPENAI,neutral,0.67403
M013_ANTHROPIC,neutral,0.652565
M013_META,positive,0.553079
M014_OPENAI,negative,0.987903
M014_ANTHROPIC,negative,0.984929
M014_META,neutral,0.608672
M015_OPENAI,negative,0.983121
M015_ANTHROPIC,negative,0.988384
M015_META,negative,0.968245
M016_OPENAI,negative,0.978587
M016_ANTHROPIC,neutral,0.671112
M016_META,neutral,0.899689
M017_OPENAI,negative,0.980669
M017_ANTHROPIC,positive,0.718854
M017_META,positive,0.712465
M018_OPENAI,positive,0.977941
M018_ANTHROPIC,positive,0.850857
M018_META,positive,0.97177
M019_OPENAI,neutral,0.635138
M019_ANTHROPIC,negative,0.972358
M019_META,neutral,0.616567
M020_OPENAI,neutral,0.503833
M020_ANTHROPIC,neutral,0.879737
M020_META,neutral,0.93688
M021_OPENAI,negative,0.983747
M021_ANTHROPIC,neutral,0.651931
M021_META,positive,0.941532
M022_OPENAI,negative,0.986601
M022_ANTHROPIC,negative,0.9888
M022_META,positive,0.899592
